source_file,id,name,locality,region,location,area,district,street,house,network_type,building_type,purpose,residential_complex,res_completed,houses_count,apartments_count,floors_count,porch_count,cluster_id
cluster_Астана-extra.xml,manual-1,Хозяйственный корпус,Астана,Астана город республиканского значения,POINT (71.355677 51.168224),"POLYGON((71.355944 51.167976,71.35603 51.168024,71.35541 51.168471,71.355324 51.168423,71.355944 51.167976))",,,,ГТС,INDUSTRY,Хозяйственный корпус,,True,1.0,,1.0,,
,manual-2,"Улица Жумабека Ташенова, 4б",Астана,Астана город республиканского значения,POINT (71.447835 51.15381),"POLYGON((71.447181 51.153606,71.447265 51.153512,71.448363 51.153898,71.448279 51.153992,71.44724 51.153627,71.447181 51.153606))",Байконыр район,Улица Жумабека Ташенова,4б,ГТС,OTHER,Гараж,,,,,,,
,manual-3,"Улица Шалкоде, 8",Астана,Астана город республиканского значения,POINT (71.521364 51.125229),"POLYGON((71.521317 51.125323,71.521217 51.12529,71.521487 51.124973,71.521588 51.125007,71.521317 51.125323))","Промышленный ж/м, Сарайшык район",Улица Шалкоде,8,ГТС,OTHER,Гараж,,,,,,,
,manual-4,"Улица Промышленный, ул. Георгия Игишева, 10",Астана,Астана город республиканского значения,POINT (71.521015 51.125591),"POLYGON((71.520922 51.125771,71.520821 51.125737,71.521091 51.125421,71.521192 51.125455,71.520922 51.125771))","​Промышленный ж/м, Сарайшык район",ул. Георгия Игишева,10,ГТС,OTHER,Гараж,,,,,,,
,manual-6,"Улица Илияса Жансугурова, 2",Астана,Астана город республиканского значения,POINT (71.480147 51.158383),"POLYGON((71.479831 51.158214,71.480196 51.158601,71.480319 51.158555,71.480275 51.158509,71.480373 51.158472,71.480009 51.158086,71.479886 51.158131,71.479798 51.158039,71.4797 51.158075,71.479831 51.158214))",Алматинский,Улица Илияса Жансугурова,2,ГТС,GOVERNMENT,​ДВД г. Астаны,,,,,,,
,manual-7,"Улица Беимбет Майлин, 16/4",Астана,Астана город республиканского значения,POINT (71.476014 51.145049),"POLYGON((71.475788 51.145058,71.475877 51.144935,71.476241 51.14504,71.476152 51.145162,71.475788 51.145058))",Алматинский,Улица Беимбет Майлин,16/4,ГТС,GOVERNMENT,​Комитет государственной инспекции в агропромышленном комплексе Министерства сельского хозяйства РК,,,,,,,
,manual-8,"Улица Аскара Токпанова, 41/1",Астана,Астана город республиканского значения,POINT (71.449386 51.146199),"POLYGON((71.449403 51.146216,71.449337 51.146198,71.449366 51.146157,71.449431 51.146175,71.449403 51.146216))","​Ак-булак-2 ж/м, Алматы район",Улица Аскара Токпанова,41/1,ГТС,OTHER,КПП,,,,,,,
,manual-9,"Улица Александр Бараев, 4",Астана,Астана город республиканского значения,POINT (71.433085 51.154008),"POLYGON((71.432825 51.154126,71.432807 51.154133,71.432796 51.154147,71.4328 51.154162,71.432815 51.154173,71.432838 51.154178,71.432805 51.154195,71.433119 51.154429,71.43325 51.154359,71.433065 51.154222,71.433175 51.154164,71.433083 51.154095,71.433257 51.154003,71.433119 51.153899,71.432835 51.15405,71.432863 51.154071,71.432797 51.154106,71.432825 51.154126))",Байконур,Улица Александр Бараев,4,ГТС,GOVERNMENT,​Посольства / Консульства,,,,,,,
,manual-10,"Улица Достык, 14",Астана,Астана город республиканского значения,POINT (71.429046 51.124723),"POLYGON((71.427868 51.124796,71.428089 51.125355,71.428339 51.125315,71.42818 51.124914,71.42854 51.124858,71.428581 51.124962,71.428768 51.124933,71.429433 51.124829,71.429635 51.124797,71.429593 51.124693,71.429954 51.124636,71.430112 51.125038,71.430362 51.124999,71.430162 51.124493,71.430141 51.12444,71.429933 51.124473,71.429531 51.124536,71.42951 51.124483,71.428457 51.124648,71.428478 51.124701,71.4282 51.124744,71.427868 51.124796))",Есильский,Улица Достык, 14,ГТС,GOVERNMENT,​Государственные службы,,,,,,,
,manual-11,"Проспект Мангилик Ел, 6",Астана,Астана город республиканского значения,POINT (71.440979 51.125715),"POLYGON((71.440776 51.125013,71.440765 51.124997,71.440734 51.124969,71.440696 51.124946,71.440651 51.124927,71.440602 51.124914,71.440549 51.124907,71.440496 51.124906,71.440443 51.124911,71.440392 51.124922,71.440346 51.124939,71.440305 51.124961,71.440272 51.124987,71.440246 51.125017,71.44023 51.125049,71.440183 51.125209,71.44015 51.125351,71.440125 51.125493,71.440112 51.125603,71.43942 51.125602,71.439429 51.12571,71.440103 51.125711,71.440099 51.125779,71.440097 51.125922,71.440104 51.126066,71.440118 51.126209,71.44138 51.126011,71.440999 51.125051,71.440776 51.125013),(71.440447 51.125808,71.440582 51.125859,71.440552 51.12589,71.440562 51.125916,71.440313 51.125956,71.440312 51.125921,71.440313 51.125782,71.440315 51.125758,71.440447 51.125808),(71.440658 51.125587,71.440345 51.125469,71.440363 51.125368,71.440378 51.1253,71.440402 51.125306,71.440467 51.125315,71.440534 51.125317,71.440601 51.12531,71.440664 51.125296,71.440732 51.12527,71.440863 51.1256,71.440822 51.125607,71.440792 51.125638,71.440658 51.125587))",Есильский,Проспект Мангилик Ел,6,ГТС,GOVERNMENT,​Пресс-служба,,,,,,,
,manual-13,"Проспект Мангилик Ел, 1",Астана,Астана город республиканского значения,POINT (71.446378 51.126114),"POLYGON((71.446507 51.125528,71.446646 51.125506,71.446578 51.125332,71.445774 51.125455,71.445841 51.12563,71.445952 51.125613,71.445997 51.125728,71.445927 51.125753,71.445874 51.125794,71.445848 51.125844,71.445853 51.125897,71.445887 51.125945,71.445947 51.125982,71.446024 51.126003,71.446105 51.126005,71.446149 51.126119,71.446038 51.126136,71.446106 51.126311,71.446911 51.126187,71.446843 51.126013,71.446704 51.126034,71.446507 51.125528))",Есильский,Проспект Мангилик Ел,1,ГТС,GOVERNMENT,​Резиденция президента,,,,,,,
,manual-14,"Проспект Мангилик Ел, 2",Астана,Астана город республиканского значения,POINT (71.44105 51.127577),"POLYGON((71.440193 51.127771,71.440301 51.127739,71.440345 51.127796,71.440808 51.127656,71.440861 51.127716,71.440978 51.127839,71.441101 51.127959,71.441209 51.128056,71.441229 51.128109,71.441263 51.128104,71.441367 51.128192,71.44151 51.128303,71.441661 51.128414,71.442203 51.128094,71.442152 51.127963,71.44211 51.12797,71.44209 51.127917,71.441813 51.127961,71.441743 51.127971,71.441426 51.127851,71.441303 51.127538,71.441368 51.12747,71.441259 51.127428,71.441209 51.127301,71.441007 51.127332,71.440904 51.127293,71.440841 51.127358,71.440599 51.127396,71.440648 51.127463,71.440691 51.127515,71.440623 51.127586,71.440735 51.127628,71.44061 51.127666,71.440567 51.127609,71.440166 51.12773,71.440193 51.127771))",Есильский,Проспект Мангилик Ел,2,ГТС,GOVERNMENT,​Законодательная власть,,,,,,,
,manual-15,"Улица Динмухамед Конаев, 39",Астана,Астана город республиканского значения,POINT (71.443975 51.129938),"POLYGON((71.444143 51.129031,71.444561 51.130095,71.443701 51.130229,71.443283 51.129164,71.444143 51.129031))",Есильский,Улица Динмухамед Конаев, 39,ГТС,GOVERNMENT,Суды,,,,,,,
,manual-16,"​Кабанбай батыр проспект, 32/1",Астана,Астана город республиканского значения,POINT (71.41676 51.131443),"POLYGON((71.416107 51.13145,71.416009 51.131461,71.41602 51.131499,71.416059 51.131561,71.416116 51.131618,71.416189 51.131666,71.416275 51.131705,71.416372 51.131733,71.416429 51.131631,71.41647 51.131623,71.416498 51.131686,71.416754 51.13164,71.416774 51.131683,71.417131 51.131619,71.417061 51.131464,71.417103 51.131469,71.417113 51.131403,71.417103 51.131336,71.417074 51.131272,71.417025 51.131213,71.41696 51.13116,71.416869 51.130958,71.416741 51.131139,71.416665 51.131122,71.416579 51.131114,71.416492 51.131117,71.416407 51.131129,71.416328 51.131152,71.416257 51.131184,71.416197 51.131223,71.41615 51.131269,71.416118 51.13132,71.416101 51.131374,71.416101 51.131428,71.416107 51.13145))",Нура,​Кабанбай батыр проспект,32/1,ГТС,GOVERNMENT,​Комитет транспортного контроля,,,,,,,
